PERID,RESIGNED
10000001,0.386293543227
10000003,0.271724332051
10000005,0.246549730577
10000006,0.723694833083
10000007,0.537182316072
10000011,0.583310491212
10000012,0.24008354815
10000017,0.203557177772
10000019,0.832135017197
10000022,0.633812092937
10000027,0.360288116883
10000033,0.926132174885
10000035,0.39382984501
10000038,0.647347570457
10000044,0.751330086803
10000051,0.331054711523
10000052,0.0905825798331
10000053,0.102713977934
10000055,0.250480989394
10000056,0.6573852656
10000058,0.916162745611
10000060,0.798406306849
10000062,0.979536365752
10000065,0.483238549772
10000066,0.164563314497
10000068,0.209074444476
10000072,0.259511307954
10000073,0.612653940761
10000075,0.526015854874
10000079,0.462139062968
10000081,0.260349583244
10000091,0.0945643810961
10000093,0.691591936748
10000101,0.518210345094
10000102,0.811080114472
10000103,0.667390131578
10000105,0.731713002463
10000106,0.803541154967
10000108,0.332755716287
10000109,0.157805021982
10000110,0.29865316577
10000113,0.0085846413123
10000114,0.154855339184
10000121,0.578655153435
10000123,0.301599245517
10000124,0.361546815336
10000125,0.705640058642
10000126,0.775573109236
10000130,0.463013267907
10000131,0.096036463017
10000132,0.735224209844
10000137,0.492050321816
10000141,0.453995815527
10000142,0.0837671537104
10000149,0.382247097843
10000150,0.233550541278
10000155,0.464676755674
10000156,0.986132628145
10000157,0.21281629606
10000162,0.064888638927
10000165,0.725572188256
10000167,0.955304569142
10000169,0.439766998038
10000171,0.727915127528
10000174,0.847868731194
10000176,0.6575278908
10000177,0.0209341550572
10000179,0.290131074608
10000180,0.797343468217
10000181,0.41992637184
10000183,0.541090953841
10000185,0.740814967416
10000186,0.750699391988
10000187,0.521520713679
10000189,0.112022654041
10000191,0.614237733255
10000193,0.0165968315252
10000196,0.497179442846
10000200,0.267096569245
10000202,0.544353341346
10000211,0.60409275054
10000212,0.779269095382
10000214,0.0957211790182
10000216,0.34972825504
10000217,0.133852072047
10000219,0.731012110704
10000220,0.479997964562
10000226,0.236655159121
10000236,0.089788301727
10000237,0.55476360492
10000243,0.316458827862
10000246,0.553117395912
10000247,0.722415624912
10000248,0.295643173839
10000250,0.466634963674
10000255,0.214570955124
10000258,0.449356620815
10000265,0.831879224281
10000266,0.615912730235
10000268,0.0542679235178
10000269,0.777117569367
10000270,0.999061653334
10000273,0.862190992541
10000275,0.636644053084
10000280,0.0146115568243
